,MATICUSDT,ETHUSDT,spread,zscore
0,0.857,2183.41,-0.08948405531968828,
1,0.857,2168.39,-0.0829730516552819,
2,0.857,2167.69,-0.08266960940727364,
3,0.857,2168.39,-0.0829730516552819,
4,0.857,2170.87,-0.08404810419108266,
5,0.857,2176.82,-0.08662736329915321,
6,0.857,2183.41,-0.08948405531968828,
7,0.857,2173.42,-0.08515350095168439,
8,0.857,2183.41,-0.08948405531968828,
9,0.857,2171.48,-0.08431253243577563,
10,0.857,2057.5,-0.0349034646815114,
11,0.857,1849.99,0.055049822295917705,
12,0.857,1848.0,0.055912465258112665,
13,0.92,1842.8,0.1211666076718887,
14,0.857,1860.78,0.05037247678733281,
15,0.857,1576.52,0.17359603881424235,
16,0.857,1596.62,0.16488291140714717,
17,0.857,1592.67,0.16659519266376532,
18,0.857,1601.25,0.16287585768103519,
19,0.857,1611.39,0.15848027997417213,
20,0.857,1590.23,0.1676529056425371,1.3201977269934813
21,0.857,1595.44,0.1653944283395039,1.1771306284119722
22,0.857,1590.15,0.16768758475659518,1.086873259083649
23,0.857,1631.42,0.14979749679187782,0.8463721951541316
24,0.857,1625.0,0.15258049569503962,0.7898939150851287
25,0.857,1612.31,0.15808147016250418,0.760997059738752
26,0.857,1614.04,0.157331534320998,0.6803695947211345
27,0.857,1612.31,0.15808147016250418,0.6174778003216959
28,0.857,1657.71,0.13840107293453785,0.3313487690584868
29,0.92,1771.26,0.15217840541833594,0.4229870146977444
30,0.857,1756.73,0.09547699950913657,-0.6354002889718107
31,0.857,1757.79,0.0950175012478669,-1.0170578584682413
32,0.857,1758.58,0.09467504499654322,-1.1617762490059544
33,0.857,2170.87,-0.08404810419108266,-3.6456115944172147
34,0.857,1821.99,0.0671875122162493,-1.0189181587507634
35,0.857,1763.58,0.09250760036791261,-0.6579760400717309
36,0.857,1770.35,0.08957288034074673,-0.6417189695567226
37,0.92,1764.17,0.15525184190173413,0.48964759380510364
38,0.866,1775.0,0.0965571568361202,-0.4629923457896939
39,0.866,1782.6,0.09326264100060166,-0.4657237056398779
40,0.866,1777.01,0.0956858440954107,-0.37466200099434666
41,0.866,1776.29,0.09599795612193351,-0.31515535798733646
42,0.866,1770.37,0.09856421056223219,-0.21718552012506498
43,0.866,1767.17,0.09995137512455576,-0.13694269431083222
44,0.866,1778.4,0.09508329448865127,-0.182360884639474
45,0.911,1768.75,0.14426646262190856,0.7690424889368178
46,0.866,1770.35,0.09857288034074674,-0.0560754886259817
47,0.866,1787.85,0.09098682414053949,-0.14838132923394615
48,0.866,1766.66,0.100172454476676,0.09960237856468213
49,0.866,1776.2,0.09603697012524881,0.05576127356389195
50,0.866,1768.1,0.09954823042363048,0.19504260082612868
51,0.866,1764.17,0.10125184190173409,0.2272713491751886
52,0.866,1864.22,0.0578812748828349,-0.708022493835472
53,0.866,1856.67,0.06115411627206713,-0.5935511353441703
54,0.866,1872.9,0.054118591007532024,-1.7034428110526267
55,0.866,1882.99,0.049744687746955396,-1.7583349261267223
56,0.866,1887.5,0.047789652691930584,-1.6254383405938535
57,0.866,1866.36,0.056953608581781,-1.181245633669013
58,0.866,1864.74,0.057655860641457335,-1.1320205575609597
59,0.866,1878.75,0.05158268079203421,-1.2461786383713391
60,0.866,1786.67,0.09149834107289623,0.33304189185116073
61,0.911,1700.85,0.17370036067871275,2.710131170629455
62,0.877,1670.01,0.15306915914810648,1.8079304526723845
63,0.877,1673.0,0.15177302726018538,1.5856638105990162
64,0.877,1689.44,0.1446464693212478,1.2823343031503054
65,0.877,1691.54,0.143736142577223,1.1573951209774997
66,0.877,1693.69,0.14280414138691178,1.1386270197724284
67,0.877,1696.25,0.14169440973705283,1.0310349205040015
68,0.877,1681.3,0.14817506917665857,1.0862934028923767
69,0.934,2182.57,-0.012119924622078448,-2.166767738336961
70,0.929,2177.23,-0.014805093758700871,-1.9030883888948416
71,0.929,2183.41,-0.01748405531968822,-1.7049316076252543
72,0.929,2183.41,-0.01748405531968822,-1.513772326838015
73,0.929,2168.39,-0.01097305165528184,-1.3025507110451393
74,0.929,2176.5,-0.014488646842920727,-1.248507968898351
75,0.929,2169.1,-0.011280828792547326,-1.1209306332012745
76,0.929,2176.5,-0.014488646842920727,-1.0895697626636573
77,0.884,2186.16,-0.06367614986543513,-1.5712915319283105
78,0.939,2168.39,-0.0009730516552819424,-0.7354983526655825
79,0.89,2179.46,-0.05477177406307021,-1.2787771761027094
80,0.89,2188.49,-0.05868617906237705,-1.2131369733947648
81,0.89,2175.9,-0.05322855348748512,-1.0477649022734108
82,0.89,2194.02,-0.061083372821642556,-1.0434589107500676
83,0.937,2183.41,-0.009484055319688212,-0.3795674744123695
84,0.886,2182.57,-0.06011992462207849,-0.9139271454833341
85,0.886,2171.48,-0.05531253243577561,-0.7808283215482587
86,0.886,2182.75,-0.060197952628709084,-0.7837765615105716
87,0.886,2182.9,-0.06026297596756802,-0.735655121568448
88,0.886,2185.36,-0.061329358724854344,-0.740841695560251
89,0.886,2178.95,-0.05855069471094976,-0.9060991050522006
90,0.886,2175.9,-0.05722855348748512,-0.77151767252349
91,0.886,2181.59,-0.059695105474866894,-0.7937632233478599
92,0.886,2179.47,-0.05877610895232732,-0.681125527318983
93,0.951,2186.16,0.003323850134564821,1.8291801289402125
94,0.848,2178.95,-0.09655069471094979,-1.9138122029299445
95,0.848,2179.46,-0.09677177406307025,-1.698817493180599
96,0.848,2168.39,-0.09197305165528191,-1.3870996755875806
97,0.848,2168.06,-0.09183000030979227,-1.264206513110315
